Date,DJIA,Open,High,Low,Vol.,Change %
2005/05/17,10331.88,10247.49,10336.90,10213.14,241.11M,0.78%
2005/05/16,10252.29,10139.61,10255.25,10138.28,217.23M,1.11%
2005/05/13,10140.12,10188.23,10234.34,10075.55,258.42M,-0.48%
2005/05/12,10189.48,10299.74,10322.35,10183.43,249.84M,-1.08%
2005/05/11,10300.25,10272.91,10311.19,10184.90,214.89M,0.19%
2005/05/10,10281.11,10382.94,10382.94,10250.23,234.91M,-0.99%
2005/05/09,10384.34,10345.40,10384.86,10320.14,204.60M,0.38%
2005/05/06,10345.40,10339.71,10400.60,10339.64,230.41M,0.05%
2005/05/05,10340.38,10384.49,10405.77,10296.48,236.46M,-0.43%
2005/05/04,10384.64,10255.25,10392.47,10255.25,275.24M,1.24%
2005/05/03,10256.95,10251.04,10304.54,10208.03,277.71M,0.05%
2005/05/02,10251.70,10192.00,10258.43,10188.07,239.61M,0.58%
2005/04/29,10192.51,10073.47,10196.36,10048.12,303.79M,1.21%
2005/04/28,10070.37,10194.58,10194.58,10070.14,279.30M,-1.26%
2005/04/27,10198.80,10150.32,10219.56,10079.45,248.39M,0.47%
2005/04/26,10151.13,10240.99,10263.60,10150.99,255.27M,-0.89%
2005/04/25,10242.47,10158.52,10260.20,10158.52,231.21M,0.83%
2005/04/22,10157.71,10216.68,10219.34,10069.92,273.54M,-0.60%
2005/04/21,10218.60,10010.51,10218.60,10010.51,287.55M,2.06%
2005/04/20,10012.36,10131.18,10186.45,10000.46,323.91M,-1.14%
2005/04/19,10127.41,10071.55,10156.53,10071.55,285.96M,0.56%
2005/04/18,10071.25,10088.54,10105.39,10020.93,301.22M,-0.16%
2005/04/15,10087.51,10276.61,10278.53,10076.57,417.36M,-1.86%
2005/04/14,10278.75,10403.71,10417.89,10273.43,303.78M,-1.20%
2005/04/13,10403.93,10507.45,10521.06,10379.70,274.85M,-0.99%
2005/04/12,10507.97,10448.63,10529.77,10360.92,267.07M,0.57%
2005/04/11,10448.56,10462.08,10482.18,10438.44,192.72M,-0.12%
2005/04/08,10461.34,10546.32,10553.56,10460.46,201.11M,-0.81%
2005/04/07,10546.32,10485.88,10557.11,10476.71,283.34M,0.58%
2005/04/06,10486.02,10453.45,10526.00,10453.38,237.57M,0.26%
2005/04/05,10458.46,10421.14,10476.49,10419.44,271.69M,0.36%
2005/04/04,10421.14,10401.71,10444.28,10356.71,293.80M,0.16%
2005/04/01,10404.30,10504.57,10568.93,10381.02,318.81M,-0.95%
2005/03/31,10503.76,10541.59,10542.04,10490.38,259.25M,-0.35%
2005/03/30,10540.93,10405.77,10544.18,10404.81,276.06M,1.30%
2005/03/29,10405.70,10486.10,10520.84,10396.24,301.96M,-0.76%
2005/03/28,10485.65,10444.13,10533.55,10439.99,213.82M,0.41%
2005/03/24,10442.87,10457.06,10518.63,10442.87,238.11M,-0.13%
2005/03/23,10456.02,10470.58,10497.42,10430.53,327.49M,-0.14%
2005/03/22,10470.51,10565.39,10609.95,10470.28,308.69M,-0.90%
2005/03/21,10565.39,10629.90,10630.49,10534.06,254.56M,-0.60%
2005/03/18,10629.67,10627.83,10653.69,10557.04,531.67M,0.03%
2005/03/17,10626.35,10633.30,10658.64,10598.34,228.16M,-0.06%
2005/03/16,10633.07,10741.63,10741.63,10612.38,278.62M,-1.04%
2005/03/15,10745.10,10804.29,10838.65,10745.10,237.71M,-0.55%
2005/03/14,10804.51,10773.92,10805.47,10754.41,237.05M,0.28%
2005/03/11,10774.36,10845.30,10872.35,10758.55,243.05M,-0.71%
2005/03/10,10851.51,10806.28,10875.52,10780.35,224.04M,0.42%
2005/03/09,10805.62,10912.32,10923.18,10802.06,267.97M,-0.98%
2005/03/08,10912.62,10935.60,10952.45,10900.13,205.97M,-0.22%
2005/03/07,10936.86,10940.55,10984.46,10931.46,229.12M,-0.03%
2005/03/04,10940.55,10834.51,10962.42,10834.29,240.21M,0.99%
2005/03/03,10833.03,10812.27,10869.17,10767.19,233.48M,0.19%
2005/03/02,10811.97,10825.68,10869.83,10774.29,235.95M,-0.17%
2005/03/01,10830.00,10769.04,10849.14,10769.04,247.21M,0.59%
2005/02/28,10766.23,10842.05,10842.05,10730.47,288.16M,-0.70%
2005/02/25,10841.60,10748.42,10845.60,10735.77,247.14M,0.86%
2005/02/24,10748.79,10672.24,10755.74,10647.34,257.34M,0.70%
2005/02/23,10673.79,10609.28,10700.69,10608.98,268.49M,0.59%
2005/02/22,10611.20,10783.38,10783.45,10610.54,340.91M,-1.61%
2005/02/18,10785.22,10755.15,10792.02,10730.32,335.66M,0.29%
2005/02/17,10754.26,10835.03,10841.16,10752.34,257.86M,-0.74%
2005/02/16,10834.88,10832.03,10853.43,10794.16,256.94M,-0.02%
2005/02/15,10837.32,10791.06,10852.39,10779.31,241.50M,0.43%
2005/02/14,10791.13,10795.72,10802.29,10773.18,215.37M,-0.05%
2005/02/11,10796.01,10742.92,10829.19,10703.43,263.37M,0.43%
2005/02/10,10749.61,10665.00,10763.94,10664.33,254.15M,0.80%
2005/02/09,10664.11,10717.76,10741.55,10660.42,310.03M,-0.56%
2005/02/08,10724.63,10712.51,10744.51,10695.96,244.71M,0.08%
2005/02/07,10715.76,10715.76,10733.50,10699.73,218.04M,0.00%
2005/02/04,10716.13,10593.17,10723.89,10586.89,246.27M,1.16%
2005/02/03,10593.10,10592.21,10601.15,10550.09,229.00M,-0.03%
2005/02/02,10596.79,10551.05,10616.37,10544.48,279.86M,0.43%
2005/02/01,10551.94,10489.72,10570.26,10489.64,283.80M,0.59%
2005/01/31,10489.94,10428.76,10510.19,10428.76,298.06M,0.60%
2005/01/28,10427.20,10470.58,10488.39,10386.56,358.72M,-0.38%
2005/01/27,10467.40,10498.14,10498.14,10429.94,269.69M,-0.30%
2005/01/26,10498.59,10463.19,10531.99,10463.19,247.14M,0.35%
2005/01/25,10461.56,10369.42,10509.83,10369.42,260.72M,0.90%
2005/01/24,10368.61,10393.58,10442.87,10368.61,259.17M,-0.23%
2005/01/21,10392.99,10471.98,10512.18,10390.85,275.68M,-0.75%
2005/01/20,10471.47,10538.90,10546.77,10457.94,242.81M,-0.65%
2005/01/19,10539.97,10626.05,10626.28,10536.49,242.23M,-0.84%
2005/01/18,10628.79,10554.23,10628.94,10500.58,267.68M,0.67%
2005/01/14,10558.00,10506.71,10567.01,10503.76,223.07M,0.50%
2005/01/13,10505.83,10617.41,10618.15,10485.73,271.19M,-1.05%
2005/01/12,10617.78,10561.32,10622.88,10499.47,293.14M,0.58%
2005/01/11,10556.22,10619.77,10619.77,10531.54,255.65M,-0.61%
2005/01/10,10621.03,10603.44,10663.74,10582.38,234.16M,0.16%
2005/01/07,10603.96,10624.80,10653.25,10571.74,242.52M,-0.18%
2005/01/06,10622.88,10593.19,10667.58,10589.33,232.85M,0.24%
2005/01/05,10597.83,10629.53,10684.43,10597.75,263.55M,-0.31%
2005/01/04,10630.78,10727.81,10769.56,10605.15,293.28M,-0.92%
2005/01/03,10729.43,10783.75,10867.39,10710.07,270.62M,-0.50%
2004/12/31,10783.01,10800.30,10832.52,10781.01,141.14M,-0.16%
2004/12/30,10800.30,10829.12,10850.18,10799.71,146.21M,-0.27%
2004/12/29,10829.19,10853.72,10853.72,10795.57,162.83M,-0.23%
2004/12/28,10854.54,10776.06,10859.04,10773.92,169.87M,0.73%
2004/12/27,10776.13,10828.01,10868.07,10776.13,170.14M,-0.47%
2004/12/23,10827.12,10815.00,10864.67,10809.53,193.27M,0.10%
2004/12/22,10815.89,10752.34,10822.68,10739.19,252.91M,0.52%
2004/12/21,10759.43,10661.89,10765.27,10661.89,294.88M,0.92%
2004/12/20,10661.60,10652.14,10735.27,10652.07,298.65M,0.11%
2004/12/17,10649.92,10704.83,10739.33,10641.88,619.18M,-0.52%
2004/12/16,10705.64,10691.71,10726.85,10661.67,293.60M,0.13%
2004/12/15,10691.45,10675.71,10706.16,10636.47,305.01M,0.14%
2004/12/14,10676.45,10640.53,10695.07,10621.03,303.79M,0.36%
2004/12/13,10638.32,10543.44,10642.53,10543.21,257.53M,0.90%
2004/12/10,10543.22,10552.16,10575.58,10522.68,242.29M,-0.09%
2004/12/09,10552.82,10492.45,10562.51,10418.63,278.74M,0.56%
2004/12/08,10494.23,10438.77,10506.85,10438.66,247.02M,0.51%
2004/12/07,10440.58,10546.80,10567.16,10440.36,258.71M,-1.01%
2004/12/06,10547.06,10591.32,10591.99,10526.82,218.66M,-0.43%
2004/12/03,10592.21,10597.90,10643.05,10560.58,286.26M,0.07%
2004/12/02,10585.12,10590.44,10629.16,10544.77,296.05M,-0.05%
2004/12/01,10590.22,10425.80,10590.22,10425.76,307.97M,1.56%
2004/11/30,10428.02,10475.27,10483.14,10428.02,286.90M,-0.46%
2004/11/29,10475.90,10520.64,10557.41,10417.08,247.67M,-0.44%
2004/11/26,10522.23,10518.69,10543.29,10508.56,91.51M,0.02%
2004/11/24,10520.31,10493.86,10527.40,10482.26,204.07M,0.26%
2004/11/23,10492.60,10486.69,10514.99,10436.38,254.79M,0.03%
2004/11/22,10489.42,10455.73,10508.04,10432.01,240.42M,0.31%
2004/11/19,10456.91,10571.63,10573.74,10438.58,275.34M,-1.09%
2004/11/18,10572.55,10549.20,10585.26,10547.39,242.23M,0.22%
2004/11/17,10549.57,10481.83,10602.85,10481.83,295.23M,0.59%
2004/11/16,10487.65,10549.79,10549.79,10477.95,237.06M,-0.59%
2004/11/15,10550.24,10541.89,10563.02,10517.13,266.46M,0.11%
2004/11/12,10539.01,10469.21,10539.60,10460.40,322.25M,0.66%
2004/11/11,10469.84,10386.95,10486.65,10386.95,254.08M,0.81%
2004/11/10,10385.48,10378.59,10439.40,10378.59,281.29M,-0.01%
2004/11/09,10386.37,10387.62,10427.81,10368.59,248.43M,-0.05%
2004/11/08,10391.31,10385.15,10405.69,10361.44,258.04M,0.04%
2004/11/05,10387.54,10317.05,10416.67,10316.98,325.77M,0.71%
2004/11/04,10314.76,10132.48,10318.23,10127.98,365.77M,1.75%
2004/11/03,10137.05,10037.50,10215.51,10037.43,332.79M,1.01%
2004/11/02,10035.73,10053.87,10132.99,10011.18,310.40M,-0.19%
2004/11/01,10054.39,10028.73,10076.59,10010.15,267.04M,0.27%
2004/10/29,10027.47,10004.69,10044.14,9990.83,262.95M,0.23%
2004/10/28,10004.54,9998.94,10044.95,9952.48,254.49M,0.03%
2004/10/27,10002.03,9888.25,10018.55,9841.95,256.20M,1.15%
2004/10/26,9888.48,9750.59,9888.48,9749.55,273.77M,1.42%
2004/10/25,9749.99,9757.22,9777.87,9708.40,233.37M,-0.08%
2004/10/22,9757.81,9863.85,9883.25,9753.02,258.22M,-1.09%
2004/10/21,9865.76,9884.65,9903.15,9800.87,272.05M,-0.21%
2004/10/20,9886.93,9895.19,9895.70,9804.19,272.67M,-0.11%
2004/10/19,9897.62,9958.38,10020.55,9894.89,264.22M,-0.59%
2004/10/18,9956.32,9932.98,9960.15,9861.63,227.84M,0.23%
2004/10/15,9933.38,9895.63,9982.71,9895.55,317.59M,0.39%
2004/10/14,9894.45,10002.54,10003.36,9875.13,268.65M,-1.08%
2004/10/13,10002.33,10085.21,10127.17,9957.79,276.80M,-0.74%
2004/10/12,10077.18,10080.42,10102.33,10017.15,215.82M,-0.05%
2004/10/11,10081.97,10056.09,10098.78,10056.09,157.18M,0.27%
2004/10/08,10055.20,10124.11,10148.04,10036.32,228.59M,-0.69%
2004/10/07,10125.40,10239.84,10240.95,10124.52,275.34M,-1.12%
2004/10/06,10239.92,10170.70,10240.14,10157.99,232.02M,0.61%
2004/10/05,10177.68,10216.76,10221.11,10158.07,224.41M,-0.38%
2004/10/04,10216.54,10191.40,10270.37,10191.40,253.19M,0.23%
2004/10/01,10192.65,10082.04,10198.62,10082.04,267.55M,1.11%
2004/09/30,10080.27,10136.38,10142.94,10038.90,377.13M,-0.55%
2004/09/29,10136.24,10078.06,10136.24,10050.56,206.79M,0.58%
2004/09/28,10077.40,9989.73,10099.52,9977.92,232.17M,0.89%
2004/09/27,9988.54,10046.65,10046.65,9985.37,198.71M,-0.58%
2004/09/24,10047.24,10039.42,10081.30,10034.85,204.06M,0.08%
2004/09/23,10038.90,10108.29,10108.74,10031.16,222.62M,-0.70%
2004/09/22,10109.18,10244.05,10244.05,10097.37,240.39M,-1.33%
2004/09/21,10244.93,10204.52,10270.52,10200.25,223.84M,0.39%
2004/09/20,10204.89,10283.87,10283.87,10187.19,222.36M,-0.77%
2004/09/17,10284.46,10245.82,10314.76,10245.74,295.88M,0.39%
2004/09/16,10244.49,10231.59,10281.88,10228.64,173.24M,0.13%
2004/09/15,10231.36,10316.90,10317.05,10228.78,203.74M,-0.84%
2004/09/14,10318.16,10315.13,10340.13,10303.41,186.18M,0.03%
2004/09/13,10314.76,10306.65,10348.39,10292.57,203.20M,0.02%
2004/09/10,10313.07,10289.47,10321.92,10237.78,217.58M,0.23%
2004/09/09,10289.10,10314.69,10337.33,10269.49,223.16M,-0.24%
2004/09/08,10313.36,10342.42,10361.22,10305.18,222.22M,-0.28%
2004/09/07,10342.79,10261.52,10363.36,10261.45,204.53M,0.80%
